route_name,direction,stop_seq,stop_lon,stop_lat,stop_name,stop_full_name
104,1,13,116.409828,39.959202,蒋宅口东,北京市东城区蒋宅口东(公交站)
104,1,14,116.408047,39.9526,地坛西门,北京市东城区地坛西门(公交站)
104,1,15,116.408356,39.946499,安定门内,北京市东城区安定门内(公交站)
104,1,16,116.40839,39.943681,方家胡同,北京市东城区方家胡同(公交站)
104,1,17,116.408511,39.938785,交道口南,北京市东城区交道口南(公交站)
104,1,18,116.408615,39.936068,北兵马司,北京市东城区北兵马司(公交站)
104,1,19,116.408989,39.931026,宽街路口南,北京市东城区宽街路口南(公交站)
104,1,20,116.409126,39.927773,大佛寺,北京市东城区大佛寺(公交站)
104,1,21,116.410789,39.925724,美术馆北,北京市东城区美术馆北(公交站)
104,1,22,116.411057,39.91991,灯市西口,北京市东城区灯市西口(公交站)
104,1,23,116.417671,39.920277,灯市东口,北京市东城区灯市东口(公交站)
104,1,24,116.417834,39.916437,米市大街,北京市东城区米市大街(公交站)
104,1,25,116.417847,39.909935,东单路口北,北京市东城区东单路口北(公交站)
104,1,26,116.418338,39.902613,崇文门内,北京市东城区崇文门内(公交站)
104,1,27,116.421658,39.902496,北京站西街,北京站西街(公交站)
104,1,28,116.42482,39.904751,北京站西,北京市东城区北京站西(公交站)
106,0,1,116.437496,39.94174,东直门枢纽站,北京市东城区东直门枢纽站(公交站)
106,0,2,116.431282,39.941032,东直门内,北京市东城区东直门内(公交站)
106,0,3,116.424576,39.941006,东内小街,北京市东城区东内小街(公交站)
106,0,4,116.41691,39.939336,北新桥路口南,北京市东城区北新桥路口南(公交站)
106,0,5,116.417018,39.936185,东四十二条,北京市东城区东四十二条(公交站)
106,0,6,116.417157,39.932461,魏家胡同,北京市东城区魏家胡同(公交站)
106,0,7,116.417342,39.928186,钱粮胡同,北京市东城区钱粮胡同(公交站)
106,0,8,116.417542,39.923031,东四路口南,北京市东城区东四路口南(公交站)
106,0,9,116.417671,39.920277,灯市东口,北京市东城区灯市东口(公交站)
106,0,10,116.417834,39.916437,米市大街,北京市东城区米市大街(公交站)
106,0,11,116.417847,39.909935,东单路口北,北京市东城区东单路口北(公交站)
106,0,12,116.418338,39.902613,崇文门内,北京市东城区崇文门内(公交站)
106,0,13,116.418924,39.894397,磁器口北,北京市东城区磁器口北(公交站)
106,0,14,116.419106,39.889816,红桥路口北,北京市东城区红桥路口北(公交站)
106,0,15,116.417046,39.888073,红桥路口西,北京市东城区红桥路口西(公交站)
106,0,16,116.411476,39.888234,天坛北门,北京市东城区天坛北门(公交站)
106,0,17,116.406302,39.888147,金鱼池,北京市东城区金鱼池(公交站)
106,0,18,116.401866,39.887222,天桥路口东,北京市东城区天桥路口东(公交站)
106,0,19,116.398979,39.884277,天桥,北京市东城区天桥(公交站)
106,0,20,116.396949,39.883633,北纬路东站,北京市西城区北纬路东站(公交站)
106,0,21,116.389449,39.883429,北纬路,北京市西城区北纬路(公交站)
106,0,22,116.387321,39.882133,太平街北口,北京市西城区太平街北口(公交站)
106,0,23,116.387465,39.879935,太平街,北京市西城区太平街(公交站)
106,0,24,116.387734,39.873724,陶然桥北,北京市西城区陶然桥北(公交站)
106,0,25,116.383987,39.868408,南站幸福路,南站幸福路(公交站)
106,0,26,116.377671,39.866619,北京南站,北京市丰台区北京南站(公交站)
106,1,1,116.377671,39.866619,北京南站,北京市丰台区北京南站(公交站)
106,1,2,116.383287,39.870497,永定门汽车站,北京市东城区永定门汽车站(公交站)
106,1,3,116.387734,39.873724,陶然桥北,北京市西城区陶然桥北(公交站)
106,1,4,116.387465,39.879935,太平街,北京市西城区太平街(公交站)
106,1,5,116.389449,39.883429,北纬路,北京市西城区北纬路(公交站)
106,1,6,116.396949,39.883633,北纬路东站,北京市西城区北纬路东站(公交站)
106,1,7,116.398979,39.884277,天桥,北京市东城区天桥(公交站)
106,1,8,116.401866,39.887222,天桥路口东,北京市东城区天桥路口东(公交站)
106,1,9,116.406302,39.888147,金鱼池,北京市东城区金鱼池(公交站)
106,1,10,116.411476,39.888234,天坛北门,北京市东城区天坛北门(公交站)
106,1,11,116.417046,39.888073,红桥路口西,北京市东城区红桥路口西(公交站)
106,1,12,116.419106,39.889816,红桥路口北,北京市东城区红桥路口北(公交站)
106,1,13,116.418924,39.894397,磁器口北,北京市东城区磁器口北(公交站)
106,1,14,116.418338,39.902613,崇文门内,北京市东城区崇文门内(公交站)
106,1,15,116.417847,39.909935,东单路口北,北京市东城区东单路口北(公交站)
106,1,16,116.417834,39.916437,米市大街,北京市东城区米市大街(公交站)
106,1,17,116.417671,39.920277,灯市东口,北京市东城区灯市东口(公交站)
106,1,18,116.417542,39.923031,东四路口南,北京市东城区东四路口南(公交站)
106,1,19,116.417342,39.928186,钱粮胡同,北京市东城区钱粮胡同(公交站)
106,1,20,116.417157,39.932461,魏家胡同,北京市东城区魏家胡同(公交站)
106,1,21,116.417018,39.936185,东四十二条,北京市东城区东四十二条(公交站)
106,1,22,116.41691,39.939336,北新桥路口南,北京市东城区北新桥路口南(公交站)
106,1,23,116.424576,39.941006,东内小街,北京市东城区东内小街(公交站)
106,1,24,116.431282,39.941032,东直门内,北京市东城区东直门内(公交站)
106,1,25,116.437496,39.94174,东直门枢纽站,北京市东城区东直门枢纽站(公交站)
107,0,1,116.437496,39.94174,东直门枢纽站,北京市东城区东直门枢纽站(公交站)
107,0,2,116.431282,39.941032,东直门内,北京市东城区东直门内(公交站)
107,0,3,116.424576,39.941006,东内小街,北京市东城区东内小街(公交站)
107,0,4,116.41566,39.940851,北新桥路口西,北京市东城区北新桥路口西(公交站)
107,0,5,116.410194,39.940796,交道口东,北京市东城区交道口东(公交站)
107,0,6,116.405799,39.940864,小经厂,北京市东城区小经厂(公交站)
107,0,7,116.400365,39.940816,宝钞胡同,北京市东城区宝钞胡同(公交站)
107,0,8,116.396065,39.937965,鼓楼,鼓楼(公交站)
107,0,9,116.396224,39.934983,地安门外,北京市西城区地安门外(公交站)
107,0,10,116.39093,39.933464,北海北门,北京市西城区北海北门(公交站)
107,0,11,116.38533,39.933121,东官房,北京市西城区东官房(公交站)
107,0,12,116.381094,39.93306,厂桥路口东,北京市西城区厂桥路口东(公交站)
107,0,13,116.374197,39.932652,平安里路口东,北京市西城区平安里路口东(公交站)
107,0,14,116.366585,39.932327,平安医院,北京市西城区平安医院(公交站)
107,0,15,116.361794,39.932434,官园,北京市西城区官园(公交站)
107,0,16,116.353447,39.932991,车公庄西,北京市西城区车公庄西(公交站)
107,0,17,116.349083,39.932362,三塔寺,北京市西城区三塔寺(公交站)
107,0,18,116.34217,39.932383,二里沟东口,北京市西城区二里沟东口(公交站)
107,0,19,116.343069,39.936845,北京展览馆,北京市西城区北京展览馆(公交站)
107,0,20,116.335815,39.937962,动物园,北京市西城区动物园(公交站)
107,0,21,116.329779,39.938672,白石桥东,北京市海淀区白石桥东(公交站)
107,1,1,116.329779,39.938672,白石桥东,北京市海淀区白石桥东(公交站)
107,1,2,116.335815,39.937962,动物园,北京市西城区动物园(公交站)
107,1,3,116.343069,39.936845,北京展览馆,北京市西城区北京展览馆(公交站)
107,1,4,116.34217,39.932383,二里沟东口,北京市西城区二里沟东口(公交站)
107,1,5,116.349083,39.932362,三塔寺,北京市西城区三塔寺(公交站)
107,1,6,116.358475,39.93232,车公庄东,北京市西城区车公庄东(公交站)
107,1,7,116.361794,39.932434,官园,北京市西城区官园(公交站)
107,1,8,116.366585,39.932327,平安医院,北京市西城区平安医院(公交站)
107,1,9,116.374197,39.932652,平安里路口东,北京市西城区平安里路口东(公交站)
