stop_id,stop_name,stop_lon,stop_lat,stop_full_name
S0459,大西洋新城南门,116.468095,39.990768,北京市朝阳区大西洋新城南门(公交站)
S0477,枣林前街路口北,116.358906,39.885252,北京市西城区枣林前街路口北(公交站)
S0478,白广路北口,116.358772,39.888054,北京市西城区白广路北口(公交站)
S0479,六里桥东,116.318207,39.888172,六里桥东(公交站)
S0521,二里庄,116.364852,39.999384,北京市海淀区二里庄(公交站)
S0522,二里庄南口,116.365022,39.995148,北京市海淀区二里庄南口(公交站)
S0523,志新北里,116.369193,39.993003,北京市海淀区志新北里(公交站)
S0524,志新桥北,116.369397,39.988789,北京市海淀区志新桥北(公交站)
S0525,志新桥南,116.369709,39.982734,北京市海淀区志新桥南(公交站)
S0526,牡丹园北,116.36987,39.979188,北京市海淀区牡丹园北(公交站)
S0527,北太平桥南,116.370361,39.965126,北京市海淀区北太平桥南(公交站)
S0528,铁狮子坟,116.370781,39.961671,北京市西城区铁狮子坟(公交站)
S0529,北师大路口南,116.371307,39.956413,北京市西城区北师大路口南(公交站)
S0530,小西天,116.371422,39.953644,北京市海淀区小西天(公交站)
S0531,积水潭桥东,116.37395,39.948498,北京市西城区积水潭桥东(公交站)
S0532,德胜门南站,116.381441,39.947717,北京市西城区德胜门南站(公交站)
S0533,果子市,116.383888,39.946354,北京市西城区果子市(公交站)
S0534,德内甘水桥,116.388992,39.943588,北京市西城区德内甘水桥(公交站)
S0535,铸钟厂,116.39174,39.941589,北京市西城区铸钟厂(公交站)
S0536,农业展览馆,116.461998,39.939484,北京市朝阳区农业展览馆(公交站)
S0537,德胜门,116.379596,39.948264,北京市西城区德胜门(公交站)
S0539,北太平桥北,116.370087,39.971302,北京市海淀区北太平桥北(公交站)
S0540,花市路口南,116.418824,39.896359,北京市东城区花市路口南(公交站)
S0541,磁器口西,116.416252,39.892933,北京市东城区磁器口西(公交站)
S0542,水道子,116.413033,39.892818,北京市东城区水道子(公交站)
S0543,桥湾,116.410118,39.892712,北京市东城区桥湾(公交站)
S0544,东城三里河,116.406433,39.892693,北京市东城区东城三里河(公交站)
S0545,前门西,116.394206,39.90033,北京市西城区前门西(公交站)
S0546,和平门东,116.385365,39.900069,北京市西城区和平门东(公交站)
S0547,宣武门东,116.375356,39.899755,北京市西城区宣武门东(公交站)
S0548,长椿街路口西,116.361667,39.899436,北京市西城区长椿街路口西(公交站)
S0562,长椿街路口东,116.365227,39.899437,北京市西城区长椿街路口东(公交站)
S0571,景辉街东口,116.477852,39.912361,北京市朝阳区景辉街东口(公交站)
S0572,八王坟北,116.477837,39.910671,北京市朝阳区八王坟北(公交站)
